model,test_R2,test_RMSE,cv_R2_mean,cv_R2_std,cv_RMSE_mean,cv_RMSE_std,fit_seconds
GP,0.9999999804342724,4.991584831274471e-05,0.9999999841639255,1.0689428621561636e-08,4.1554302804547796e-05,1.290034809488267e-05,19.046606940915808
GBR,0.9982289205486176,0.015017909279498653,0.9976381910429823,0.00022363786987566312,0.016759673485236284,0.0007374980663285756,0.20609120489098132
MLP,0.9861092860358738,0.04205839917883116,0.9846475834577291,0.0016846778424214619,0.04273232915199997,0.00242636968229334,0.08713772799819708
