nominal,observed
0.05,0.15333333333333332
0.08241379310344828,0.22666666666666666
0.11482758620689655,0.3
0.1472413793103448,0.3466666666666667
0.17965517241379308,0.3933333333333333
0.21206896551724136,0.46
0.24448275862068963,0.52
0.2768965517241379,0.5933333333333334
0.3093103448275862,0.64
0.34172413793103446,0.6933333333333334
0.37413793103448273,0.72
0.406551724137931,0.78
0.4389655172413793,0.8
0.47137931034482755,0.8066666666666666
0.5037931034482759,0.82
0.5362068965517242,0.8466666666666667
0.5686206896551724,0.8866666666666667
0.6010344827586207,0.9
0.633448275862069,0.9133333333333333
0.6658620689655173,0.9266666666666666
0.6982758620689655,0.94
0.7306896551724138,0.94
0.7631034482758621,0.9466666666666667
0.7955172413793103,0.9533333333333334
0.8279310344827586,0.9666666666666667
0.8603448275862069,0.9733333333333334
0.8927586206896552,0.9733333333333334
0.9251724137931034,0.9733333333333334
0.9575862068965517,0.9733333333333334
0.99,0.98
