method,n_train,rmse,r2,seed
active,80,0.0006561142992811788,0.9999964426277885,1
active,84,0.0006070441480484353,0.9999969548348125,1
active,88,0.0005779022992217276,0.9999972401902332,1
active,92,0.0005180486452955954,0.999997782256131,1
active,96,0.00048543636776959945,0.999998052690773,1
active,100,0.0004970688917980924,0.9999979582457352,1
random,12,0.021993245930939768,0.9960028636443102,1
random,16,0.059486457724633846,0.9707580372469207,1
random,20,0.021685887039123882,0.9961138041377764,1
random,24,0.011700543268433101,0.9988686880970918,1
random,28,0.007984216006516007,0.999473213231082,1
random,32,0.008197638788903188,0.9994446741897869,1
random,36,0.008774128468232632,0.9993638225361752,1
random,40,0.0048547491771294225,0.9998052381477491,1
random,44,0.004126459270761741,0.9998592898492514,1
random,48,0.003891849965244899,0.9998748351216965,1
random,52,0.0019162048528216095,0.9999696573034412,1
random,56,0.0017739645838760103,0.9999739948003163,1
random,60,0.0013889388816480063,0.9999840582287233,1
random,64,0.0014369030486239694,0.9999829381847494,1
random,68,0.001217582078898532,0.9999877491337872,1
random,72,0.0011442471355356423,0.9999891804307633,1
random,76,0.0008491127418547857,0.9999940419928706,1
random,80,0.0008789423281989043,0.9999936160266977,1
random,84,0.0008575949701347153,0.9999939223630614,1
random,88,0.0007541507189076003,0.9999953001218189,1
random,92,0.0007726995464802588,0.9999950660855231,1
random,96,0.0007517567323211571,0.9999953299131766,1
random,100,0.0007626633471701202,0.9999951934213522,1
active,12,0.019300020395920287,0.9969218779319233,2
active,16,0.025005455572264145,0.9948329835374695,2
active,20,0.01585433274215005,0.9979228577480852,2
active,24,0.018262886491204645,0.9972438100657778,2
active,28,0.006555732692974509,0.9996448492167659,2
active,32,0.005113356667449955,0.9997839359680937,2
active,36,0.004854409041828938,0.9998052654377525,2
active,40,0.004285040371731277,0.9998482669671563,2
active,44,0.0031041379932461475,0.9999203744690255,2
active,48,0.0032498166104501973,0.9999127253711039,2
active,52,0.0028069406145412295,0.9999348916406778,2
active,56,0.0034412797702619356,0.9999021388611488,2
active,60,0.0019532979448338974,0.9999684712110923,2
active,64,0.0012428534286370947,0.9999872353141164,2
active,68,0.001123464795486145,0.9999895698815938,2
active,72,0.001156535065443463,0.9999889468029539,2
active,76,0.0008306641553689426,0.999994298078379,2
active,80,0.0006026098481420258,0.9999969991606072,2
active,84,0.0007032291032280285,0.9999959133826535,2
active,88,0.0005977810035358321,0.9999970470606839,2
active,92,0.0005641357555379455,0.9999973701101684,2
active,96,0.0004617208613360306,0.9999982383107797,2
active,100,0.0004492435036674612,0.9999983322386156,2
random,12,0.019300020395920287,0.9969218779319233,2
random,16,0.019330184968728157,0.9969122486367704,2
random,20,0.018015991965901403,0.997317827770759,2
